metric_id,company_id,quarter,revenue_millions,ebitda_millions,capex_millions,free_cash_flow_millions,net_debt_millions,debt_to_equity,roic_pct,dividend_yield_pct
FM001,BHP001,2024Q1,13820.0,10520.0,3200.0,5800.0,18200.0,0.42,22.8,5.2
FM002,RIO002,2024Q1,12400.0,8920.0,2800.0,4500.0,15800.0,0.38,19.5,6.1
FM003,GLE003,2024Q1,5890.0,3200.0,1850.0,920.0,22100.0,0.72,8.2,2.8
FM004,AAL004,2024Q1,7820.0,2180.0,1500.0,350.0,8500.0,0.58,6.5,3.5
FM005,VALE005,2024Q1,10250.0,6820.0,2100.0,3800.0,14500.0,0.48,16.2,4.8
FM006,FM006,2024Q1,1980.0,820.0,650.0,-120.0,4200.0,0.65,4.8,0.0
FM007,TECK007,2024Q1,3150.0,1280.0,920.0,85.0,5800.0,0.55,7.1,1.2
FM008,ERA008,2024Q1,1120.0,280.0,310.0,-85.0,2100.0,0.82,3.2,0.0
FM009,S32009,2024Q1,2180.0,920.0,580.0,220.0,3200.0,0.45,8.8,2.5
FM010,IVN010,2024Q1,890.0,210.0,480.0,-320.0,1800.0,0.95,1.5,0.0
